type,size,locality,price
1+kt,31,Praha 3,13000
3+kt,77,Praha 5,16800
1+kt,44,Praha 2,18000
3+1,112,Praha 1,42000
3+1,87,Praha 2,30000
3+1,104,Praha 1,52000
3+kt,78,Praha 2,30000
1+kt,25,Praha 1,11000
3+1,144,Praha 2,58000
,214,Praha 3,50000
3+kt,149,Praha 6,45000
2+kt,50,Praha 2,26000
1+1,40,Praha 2,21000
2+kt,70,Praha 1,16000
2+1,48,Praha 1,15000
3+kt,85,Praha 3,27500
3+kt,65,Praha 9,13000
2+kt,57,Praha 6,25000
2+kt,48,Praha 5,13500
2+kt,70,Praha 5,11500
3+1,80,Praha 6,22000
2+1,82,Praha 6,19000
2+kt,50,Praha 1,16500
2+kt,54,Praha 6,16500
2+1,70,Praha 6,18000
2+1,42,Praha 2,16000
1+1,30,Praha 8,13000
2+kt,47,Praha 2,17000
2+1,44,Praha 5,28200
3+kt,68,Praha 5,17900
1+kt,30,Praha 5,25000
3+1,126,Praha 1,38000
3+1,160,Praha 3,30000
3+1,126,Praha 1,29000
2+kt,48,Praha 8,20000
unusual,233,Praha 1,85000
2+kt,45,Praha 2,15000
3+kt,79,Praha 2,27400
3+kt,60,Praha 2,29900
2+kt,53,Praha 4,15000
3+kt,78,Praha 2,27400
2+kt,40,Praha 2,21000
2+kt,53,Praha 8,22000
2+kt,45,Praha 1,20000
4+1,160,Praha 1,54999
2+1,55,Praha 2,26000
3+1,144,Praha 2,57000
2+kt,64,Praha 3,22000
2+kt,45,Praha 5,17000
3+kt,85,Praha 3,32000
unusual,97,Praha 2,17700
4+kt,159,Praha 1,42000
2+kt,106,Praha 1,34000
3+kt,80,Praha 6,20000
2+kt,45,Praha 6,13000
1+kt,36,Praha 9,12000
2+1,55,Praha 9,15000
1+kt,33,Praha 8,11500
2+kt,69,Praha 4,18500
3+kt,102,Praha 2,34000
2+1,65,Praha 2,24000
3+kt,90,Praha 9,24000
2+kt,40,Praha 9,13000
2+1,86,Praha 9,24000
2+kt,104,Praha 5,43000
3+kt,95,Praha 1,39000
2+kt,71,Praha 7,27500
2+kt,48,Praha 2,18000
2+kt,55,Praha 2,34700
1+kt,60,Praha 6,19000
2+1,80,Praha 1,54000
4+kt,139,Praha 3,119800
5+1,130,Praha,41000
2+kt,120,Praha 1,42000
1+kt,51,Praha 5,
3+kt,140,Praha 1,43500
3+kt,70,Praha,22500
3+kt,69,Praha 1,19500
2+1,69,Praha 2,17000
1+kt,34,Praha 9,13500
3+kt,68,Praha 1,19500
2+1,60,Praha 6,17500
3+kt,74,Praha 1,19500
2+kt,60,Praha 4,21000
5+kt,190,Praha 8,40000
2+kt,55,Praha 5,16500
2+kt,57,Praha 1,16000
3+kt,71,Praha 7,17500
1+kt,18,Praha 9,9500
3+kt,84,Praha,30000
1+kt,33,Praha 8,13000
3+kt,74,Praha 9,19000
2+1,71,Praha 8,15000
,214,Praha 3,50000
1+1,34,Praha 8,11500
2+kt,47,Praha 5,14000
4+kt,173,Praha 3,139800
2+kt,50,Praha 2,21900
2+kt,51,Praha 3,18500
2+kt,67,Praha 3,19000
3+1,68,Praha 4,16000
3+kt,100,Praha 5,45000
1+kt,34,Praha 4,16000
2+kt,50,Praha 1,15000
2+kt,50,Praha 3,14000
,200,Praha 5,79900
3+kt,78,Praha 3,25000
1+kt,44,Praha 4,12998
1+kt,36,Praha 8,11000
2+kt,63,Praha 9,13990
2+kt,56,Praha 8,23000
,209,Praha 5,79900
2+1,97,Praha 5,21000
1+1,40,Praha 2,21000
3+kt,87,Praha 2,30000
2+kt,51,Praha 9,14000
3+kt,77,Praha 9,20500
2+1,83,Praha 1,32000
2+kt,51,Praha 9,15990
unusual,151,Praha 2,32000
2+kt,65,Praha,28000
1+kt,27,Praha 4,11000
1+kt,37,Praha 4,11500
3+kt,88,Praha 5,20500
4+kt,142,Praha,30000
3+kt,98,Praha 9,30000
1+kt,25,Praha 6,8700
2+kt,40,Praha 8,15000
4+1,88,Praha 6,25000
3+kt,72,Praha 6,28000
1+kt,43,Praha 8,16000
1+1,39,Praha 4,14000
2+kt,45,Praha 5,17900
2+kt,56,Praha 1,15000
2+kt,54,Praha 1,16000
2+kt,82,Praha 1,37000
2+kt,47,Praha 6,12500
2+kt,52,Praha 4,14000
2+kt,42,Praha,12000
2+kt,45,Praha 5,17900
2+kt,45,Praha,17700
2+1,80,Praha 4,24000
2+kt,111,Praha 1,20000
3+1,84,Praha 3,25000
1+kt,41,Praha,12000
2+kt,45,Praha 2,15000
,204,Praha 1,60000
4+kt,166,Praha 3,119800
4+1,190,Praha 6,69000
2+kt,41,Praha 6,14900
2+kt,50,Praha 9,13800
3+kt,116,Praha 3,26000
3+kt,95,Praha 7,25000
1+kt,40,Praha 6,10990
2+kt,50,Praha 2,15800
2+kt,55,Praha 1,18700
1+kt,13,Praha 5,12700
2+kt,60,Praha 1,14000
1+kt,35,Praha 1,14000
1+kt,38,Praha 1,13000
1+kt,52,Praha 6,12900
2+1,61,Praha 5,20000
4+kt,159,Praha 1,42000
1+kt,24,Praha 3,16000
1+kt,44,Praha,13000
5+1,198,Praha,65000
3+kt,71,Praha 5,22000
4+kt,123,Praha 1,54000
1+kt,47,Praha 1,25000
4+kt,123,Praha 1,55000
4+kt,125,Praha 1,56000
2+kt,68,Praha 8,27000
4+kt,121,Praha 1,53000
3+kt,92,Praha 1,28000
5+kt,170,Praha 1,70000
4+kt,120,Praha 1,53000
4+kt,120,Praha 1,60000
2+1,80,Praha 4,25000
5+kt,320,Praha 6,85000
2+1,91,Praha 8,35000
1+kt,60,Praha 9,19000
,450,Praha 6,155000
2+kt,62,Praha 8,26000
2+kt,75,Praha 8,32000
1+1,40,Praha 2,21000
1+kt,35,Praha 2,21000
3+kt,85,Praha 2,38000
2+kt,52,Praha 4,18000
1+kt,35,Praha 5,11500
3+1,214,Praha 1,100000
3+kt,84,Praha 6,22000
2+1,78,Praha 6,24000
3+1,75,Praha 4,22000
4+kt,158,Praha 5,37000
2+1,53,Praha 2,19000
3+kt,74,Praha 5,23000
1+kt,20,Praha 3,7500
2+kt,42,Praha 9,14990
3+kt,78,Praha 1,25800
2+kt,67,Praha 1,17000
1+kt,27,Praha 6,10500
3+1,74,Praha 4,16000
flatshare,20,Praha 4,10000
4+1,150,Praha 1,79000
5+kt,195,Praha 6,80000
2+1,119,Praha 1,65000
3+kt,80,Praha 2,38000
1+kt,46,Praha 1,17000
2+kt,83,Praha 1,
2+kt,59,Praha 7,14000
3+1,104,Praha 6,30000
1+kt,22,Praha 4,9000
unusual,45,Praha 5,17900
1+kt,28,Praha 1,25000
1+kt,35,Praha 4,12000
2+kt,37,Praha 1,10000
2+1,51,Praha 4,14000
2+kt,52,Praha 3,18500
3+1,72,Praha 4,18000
2+1,80,Praha 4,25000
3+kt,67,Praha 4,17500
1+1,38,Praha 1,13000
2+kt,55,Praha 5,16000
1+kt,29,Praha 1,14000
2+kt,55,Praha 1,19000
3+kt,64,Praha 4,17000
